Subject,Predicate,Object,Annotation,BatchID,BatchTime
http://dbpedia.org/resource/Shock_to_the_System_(Gemma_Hayes_song),http://dbpedia.org/property/format,http://dbpedia.org/resource/Music_download,I Don't Know,0,8094.047486782074
http://dbpedia.org/resource/Shock_to_the_System_(Gemma_Hayes_song),http://dbpedia.org/ontology/format,http://dbpedia.org/resource/Music_download,I Don't Know,0,8094.047486782074
http://dbpedia.org/resource/Shock_to_the_System_(Gemma_Hayes_song),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Dave_Odlum,I Don't Know,0,8094.047486782074
http://dbpedia.org/resource/Shock_to_the_System_(Gemma_Hayes_song),http://dbpedia.org/property/format,http://dbpedia.org/resource/Paid_download,I Don't Know,0,8094.047486782074
http://dbpedia.org/resource/Paora_Winitana,http://dbpedia.org/property/years,2011,Incorrect,1,49.70017981529236
http://dbpedia.org/resource/Sultan_Mudzafar_Shah_I,http://dbpedia.org/property/successor,http://dbpedia.org/resource/Sultan_Mu'adzam_Shah,Correct,2,29.465908527374268
http://dbpedia.org/resource/Sultan_Mudzafar_Shah_I,http://dbpedia.org/ontology/deathDate,1179,Correct,2,29.465908527374268
http://dbpedia.org/resource/Antonio_Pujol,http://xmlns.com/foaf/0.1/name,"Pujol, Antonio",Correct,3,12.392608642578123
http://dbpedia.org/resource/Sunnyodon,http://dbpedia.org/property/ordo,http://dbpedia.org/resource/Multituberculata,Incorrect,4,76.8268358707428
http://dbpedia.org/resource/Ainselu_Kharka,http://dbpedia.org/property/settlementType,http://dbpedia.org/resource/Village_Development_Committee,Correct,5,25.27189683914185
http://dbpedia.org/resource/Ainselu_Kharka,http://dbpedia.org/ontology/abstract,"Ainselu Kharka is a town and Village Development Committee  in Khotang District in the Sagarmatha Zone of eastern Nepal. At the time of the 1991 Nepal census it had a population of 3,617 persons living in 676 individual households.",Correct,5,25.27189683914185
http://dbpedia.org/resource/WZBA,http://xmlns.com/foaf/0.1/isPrimaryTopicOf,http://en.wikipedia.org/wiki/WZBA,I Don't Know,6,13.635592699050903
http://dbpedia.org/resource/WZBA,http://dbpedia.org/property/city,"http://dbpedia.org/resource/Westminster,_Maryland",Correct,6,13.635592699050903
http://dbpedia.org/resource/Steven_G._Vandenberg,http://dbpedia.org/ontology/abstract,"Steven Vandenberg (born July 15, 1915, Den Helder, The Netherlands d. August 27, 1992, Boulder, Colorado, United States) was a behavior geneticist who immigrated to the US after the Second World War, obtaining his Ph.D. from the University of Michigan in 1955.From 1960 to 1967 he worked at the University of Louisville School of Medicine as director of the Louisville Twin Study. In 1970 he moved to the Institute of Behavior Genetics at the University of Colorado at Boulder, where he remained until his retirement. Vandenberg received many honors and awards during his lifetime, including being the first recipient of the Behavior Genetics Association's Dobzhansky Career Award in 1977. Vandenberg served as President of the Behavior Genetics Association (1984–1985) and was the founding editor-in-chief of their scientific journal Behavior Genetics.",Correct,7,53.4799394607544
